17:35:08.474 [INF] === Strömling gestartet "2026-05-25 17:35:08" ===
17:35:10.931 [WRN] qrc:/qt/qml/stroemling/qml/ep/EpAderdefinitionSection.qml:84: TypeError: Cannot read property 'inputBg' of undefined
17:35:10.931 [WRN] qrc:/qt/qml/stroemling/qml/ep/EpAderdefinitionSection.qml:97: TypeError: Cannot read property 'textMuted' of undefined
17:35:10.931 [WRN] qrc:/qt/qml/stroemling/qml/ep/EpAderdefinitionSection.qml:85: TypeError: Cannot read property 'border' of undefined
17:35:10.931 [WRN] qrc:/qt/qml/stroemling/qml/ep/EpAderdefinitionSection.qml:84: TypeError: Cannot read property 'inputBg' of undefined
17:35:10.931 [WRN] qrc:/qt/qml/stroemling/qml/ep/EpAderdefinitionSection.qml:97: TypeError: Cannot read property 'textMuted' of undefined
17:35:10.931 [WRN] qrc:/qt/qml/stroemling/qml/ep/EpAderdefinitionSection.qml:85: TypeError: Cannot read property 'border' of undefined
17:35:10.931 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:18: TypeError: Cannot read property 'inputBg' of undefined
17:35:10.931 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:26: TypeError: Cannot read property 'textMuted' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:19: TypeError: Cannot read property 'border' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:18: TypeError: Cannot read property 'inputBg' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:26: TypeError: Cannot read property 'textMuted' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:19: TypeError: Cannot read property 'border' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:18: TypeError: Cannot read property 'inputBg' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:26: TypeError: Cannot read property 'textMuted' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:19: TypeError: Cannot read property 'border' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:18: TypeError: Cannot read property 'inputBg' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:26: TypeError: Cannot read property 'textMuted' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:19: TypeError: Cannot read property 'border' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:18: TypeError: Cannot read property 'inputBg' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:26: TypeError: Cannot read property 'textMuted' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:19: TypeError: Cannot read property 'border' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:18: TypeError: Cannot read property 'inputBg' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:26: TypeError: Cannot read property 'textMuted' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:19: TypeError: Cannot read property 'border' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:18: TypeError: Cannot read property 'inputBg' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:26: TypeError: Cannot read property 'textMuted' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:19: TypeError: Cannot read property 'border' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:18: TypeError: Cannot read property 'inputBg' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:26: TypeError: Cannot read property 'textMuted' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:19: TypeError: Cannot read property 'border' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:18: TypeError: Cannot read property 'inputBg' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:26: TypeError: Cannot read property 'textMuted' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:19: TypeError: Cannot read property 'border' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:18: TypeError: Cannot read property 'inputBg' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:26: TypeError: Cannot read property 'textMuted' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:19: TypeError: Cannot read property 'border' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:18: TypeError: Cannot read property 'inputBg' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:26: TypeError: Cannot read property 'textMuted' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:19: TypeError: Cannot read property 'border' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:18: TypeError: Cannot read property 'inputBg' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:26: TypeError: Cannot read property 'textMuted' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:19: TypeError: Cannot read property 'border' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:18: TypeError: Cannot read property 'inputBg' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:26: TypeError: Cannot read property 'textMuted' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:19: TypeError: Cannot read property 'border' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:18: TypeError: Cannot read property 'inputBg' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:26: TypeError: Cannot read property 'textMuted' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:19: TypeError: Cannot read property 'border' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:18: TypeError: Cannot read property 'inputBg' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:26: TypeError: Cannot read property 'textMuted' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:19: TypeError: Cannot read property 'border' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:18: TypeError: Cannot read property 'inputBg' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:26: TypeError: Cannot read property 'textMuted' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:19: TypeError: Cannot read property 'border' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:18: TypeError: Cannot read property 'inputBg' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:26: TypeError: Cannot read property 'textMuted' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:19: TypeError: Cannot read property 'border' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:18: TypeError: Cannot read property 'inputBg' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:26: TypeError: Cannot read property 'textMuted' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:19: TypeError: Cannot read property 'border' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:18: TypeError: Cannot read property 'inputBg' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:26: TypeError: Cannot read property 'textMuted' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:19: TypeError: Cannot read property 'border' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:18: TypeError: Cannot read property 'inputBg' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:26: TypeError: Cannot read property 'textMuted' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:19: TypeError: Cannot read property 'border' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:18: TypeError: Cannot read property 'inputBg' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:26: TypeError: Cannot read property 'textMuted' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:19: TypeError: Cannot read property 'border' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:18: TypeError: Cannot read property 'inputBg' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:26: TypeError: Cannot read property 'textMuted' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:19: TypeError: Cannot read property 'border' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/ep/EpSteckverbinderSection.qml:72: TypeError: Cannot read property 'textPrimary' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/ep/EpSteckverbinderSection.qml:71: TypeError: Cannot read property 'inputBg' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/ep/EpSteckverbinderSection.qml:71: TypeError: Cannot read property 'border' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/ep/EpSteckverbinderSection.qml:86: TypeError: Cannot read property 'inputBg' of undefined
17:35:10.932 [WRN] qrc:/qt/qml/stroemling/qml/ep/EpSteckverbinderSection.qml:86: TypeError: Cannot read property 'border' of undefined
